ID Keluarga P3KE,Kecamatan,Desil Kesejahteraan,Persentil,Penerima SEMBAKO
189321333,KALIWUNGU,2,14,0
189321334,KALIWUNGU,2,13,0
189321415,KALIWUNGU,2,13,0
189321480,KALIWUNGU,2,17,0
189321501,KALIWUNGU,2,20,0
189321535,KALIWUNGU,2,18,0
189321551,KALIWUNGU,2,19,0
189321565,KALIWUNGU,2,17,0
189321575,KALIWUNGU,2,14,0
189321580,KALIWUNGU,2,12,0
189321622,KALIWUNGU,2,15,0
189321638,KALIWUNGU,2,11,0
189321656,KALIWUNGU,2,18,0
189321704,KALIWUNGU,2,15,0
189321729,KALIWUNGU,2,17,0
189321741,KALIWUNGU,2,16,0
189321745,KALIWUNGU,2,13,0
189321754,KALIWUNGU,2,18,0
189321757,KALIWUNGU,2,12,0
189321763,KALIWUNGU,2,15,0
189321767,KALIWUNGU,2,12,1
189321768,KALIWUNGU,2,17,0
189321779,KALIWUNGU,2,20,0
189321807,KALIWUNGU,2,15,0
189321814,KALIWUNGU,2,17,0
189321831,KALIWUNGU,2,14,0
189321838,KALIWUNGU,2,17,0
189321839,KALIWUNGU,2,17,0
189321849,KALIWUNGU,2,15,0
189321853,KALIWUNGU,2,12,0
189321866,KALIWUNGU,2,13,0
189321867,KALIWUNGU,2,15,0
189321868,KALIWUNGU,2,15,0
189321892,KALIWUNGU,2,17,0
189321897,KALIWUNGU,2,15,0
189321899,KALIWUNGU,2,13,1
189321921,KALIWUNGU,2,16,0
189321922,KALIWUNGU,2,19,0
189321923,KALIWUNGU,2,14,0
189321928,KALIWUNGU,2,17,0
189321935,KALIWUNGU,2,12,0
189321943,KALIWUNGU,2,19,0
189321951,KALIWUNGU,2,12,0
189321953,KALIWUNGU,2,14,0
189321960,KALIWUNGU,2,12,0
189321962,KALIWUNGU,2,16,1
189321964,KALIWUNGU,2,12,0
189321972,KALIWUNGU,2,18,0
189321973,KALIWUNGU,2,14,0
189321986,KALIWUNGU,2,14,0
189322004,KALIWUNGU,2,16,0
189322032,KALIWUNGU,2,17,0
189322036,KALIWUNGU,2,18,0
189322040,KALIWUNGU,2,17,0
189322046,KALIWUNGU,2,18,0
189322048,KALIWUNGU,2,15,0
189322051,KALIWUNGU,2,17,1
189322056,KALIWUNGU,2,14,0
189322064,KALIWUNGU,2,15,1
189322066,KALIWUNGU,2,17,0
189322069,KALIWUNGU,2,13,0
189322072,KALIWUNGU,2,15,0
189322083,KALIWUNGU,2,12,0
189322085,KALIWUNGU,2,15,0
189322092,KALIWUNGU,2,20,0
189322111,KALIWUNGU,2,12,1
189322112,KALIWUNGU,2,15,1
189322117,KALIWUNGU,2,11,0
189322119,KALIWUNGU,2,15,0
189322127,KALIWUNGU,2,15,0
189322139,KALIWUNGU,2,11,0
189322146,KALIWUNGU,2,16,0
189322150,KALIWUNGU,2,20,0
189322155,KALIWUNGU,2,19,1
189322159,KALIWUNGU,2,14,0
189322179,KALIWUNGU,2,15,0
189322185,KALIWUNGU,2,14,0
189322190,KALIWUNGU,2,20,0
189322205,KALIWUNGU,2,20,0
189322213,KALIWUNGU,2,20,0
189322215,KALIWUNGU,2,13,0
189322227,KALIWUNGU,2,12,0
189322229,KALIWUNGU,2,12,0
189322231,KALIWUNGU,2,17,0
